iter	exit0	initial_exit3	lock_timeouts	retry_exit3	other	distinct_slots	leases_held	retry_state_unchanged	verdict
1	3	6	1	1	0	3	3	yes	ok
2	3	6	1	1	0	3	3	yes	ok
3	3	6	1	1	0	3	3	yes	ok
4	3	6	1	1	0	3	3	yes	ok
5	3	6	1	1	0	3	3	yes	ok
6	3	6	1	1	0	3	3	yes	ok
7	3	6	1	1	0	3	3	yes	ok
8	3	6	1	1	0	3	3	yes	ok
9	3	6	1	1	0	3	3	yes	ok
10	3	6	1	1	0	3	3	yes	ok
11	3	6	1	1	0	3	3	yes	ok
12	3	6	1	1	0	3	3	yes	ok
13	3	6	1	1	0	3	3	yes	ok
14	3	6	1	1	0	3	3	yes	ok
15	3	6	1	1	0	3	3	yes	ok
16	3	6	1	1	0	3	3	yes	ok
17	3	6	1	1	0	3	3	yes	ok
18	3	6	1	1	0	3	3	yes	ok
19	3	6	1	1	0	3	3	yes	ok
20	3	6	1	1	0	3	3	yes	ok
